Utterance,Emotion,Conscientiousness,Openness,Extraversion,Neuroticism,Agreeableness,Speaker
How about you?,sadness,0.457,0.722,0.6,0.455,0.46,Ross
What?!,fear,0.375,0.6,0.31,0.356,0.545,Phoebe
We won. We won!,joy,0.614,0.635,0.457,0.469,0.58,Rachel
Are you okay?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Oh, hey, hey, I got that.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
We'll be right there!  Can't you just say it starts later?,anger,0.354,0.713,0.386,0.511,0.533,Monica
What.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"See my friend-my friend, Rachel, she wants to be set up.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Demi Moore.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
You love her!,,0.354,0.713,0.386,0.511,0.533,Monica
"You keep the old ones in the back, that is so ageist.",anger,0.375,0.6,0.31,0.356,0.545,Phoebe
What's up?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Yeah but, Mischa is so interested in you, that Sergei and I haven t been able to say two words to each other.",anger,0.375,0.6,0.31,0.356,0.545,Phoebe
"Ooh, I love that place!  So, no.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"So, did you shave your legs?",joy,0.614,0.635,0.457,0.469,0.58,Rachel
Hey Ross! I brought reinforcements.,joy,0.614,0.635,0.457,0.469,0.58,Rachel
No. She s going to live with us for eight weeks.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
You are so cute! How did you get to be so cute?,joy,0.354,0.713,0.386,0.511,0.533,Monica
"Well, I was thinking about that and I, I think the best way would be, to not.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
I didn't have to tell you that!! I'm stupider than Jane Rogers!!,anger,0.489,0.574,0.297,0.56,0.552,Joey
Maybe the overlords needed them to steer their spacecrafts.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Thanx.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Okay, good, good, good,  cause, good,  cause I was kinda having second thoughts too.",fear,0.489,0.574,0.297,0.56,0.552,Joey
"Yeah, and to save you from any embarrassment umm, I think maybe I should talk first.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"If you tell me, I ll tell you what Phoebe said.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"I mean, the giant is like five years younger than me, y know, you think I ll ever get there?",sadness,0.489,0.574,0.297,0.56,0.552,Joey
Pffhah.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Okay, I'm gonna play my sperm card one more time.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
Yeah.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
I just asked you.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Hey.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Well, I-I guess I gotta go.",surprise,0.48,0.648,0.521,0.477,0.66,Chandler
"Well, what did he do?",,0.375,0.6,0.31,0.356,0.545,Phoebe
"No! No, I am not getting in a car with Ross, we will just have to live here!",anger,0.614,0.635,0.457,0.469,0.58,Rachel
"Yes. Yes, yes I did.  But-but it was, it was just a one night thing. It meant nothing.",fear,0.457,0.722,0.6,0.455,0.46,Ross
"Oh, yeah. What's this?",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"No, I gotta wear this thing for a couple weeks.",surprise,0.489,0.574,0.297,0.56,0.552,Joey
Question. Why do we always have to have parties where you poach things?,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Hey, you know our phone's not working?",,0.489,0.574,0.297,0.56,0.552,Joey
Should we tell Rachel there s an empty private room right next door to hers?,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"What can I do? One person wants to break-up, you break-up.",surprise,0.457,0.722,0.6,0.455,0.46,Ross
"Well, bye for me too.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Okay, that hurt us.",anger,0.48,0.648,0.521,0.477,0.66,Chandler
"Well, I'm crazy about her now. I think this could be the real thing. Capital 'R'! Capital 'T'! Don't worry, those are the right letters.",anger,0.48,0.648,0.521,0.477,0.66,Chandler
"Y know, I only know of two surefire ways to shut a man up. And one of them is sex.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
Hello.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Well, now, I actually have to get to work.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Yeah! Look!,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Oh... Italy, I think.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Well, y know I m 29. I mean who needs a savings account.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"It was, it was great. Oh, what happened?",fear,0.457,0.722,0.6,0.455,0.46,Ross
"Look, you guys have been to every play I ve ever been in, have I ever had chemistry on stage?",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Oh, but he was my pig man...how did I not see this?",anger,0.614,0.635,0.457,0.469,0.58,Rachel
"It s a good thing I didn t do it, because it sounds like it would ve been a very expensive wedding.  Okay, good night",sadness,0.457,0.722,0.6,0.455,0.46,Ross
What?,sadness,0.489,0.574,0.297,0.56,0.552,Joey
I  like to think of myself as the puppet master of the group.,surprise,0.375,0.6,0.31,0.356,0.545,Phoebe
"And I'd like to believe that when the right woman comes along, you will have the courage and the guts to say ""No thanks, I'm married.""",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"No, no, I mean, I mean a thing on my body.",fear,0.457,0.722,0.6,0.455,0.46,Ross
You tell them to wait!,anger,0.457,0.722,0.6,0.455,0.46,Ross
May I come in?,sadness,0.457,0.722,0.6,0.455,0.46,Ross
Oh and I need to talk to you.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Ross!,,0.375,0.6,0.31,0.356,0.545,Phoebe
I know.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Yeah, no, I m fairly intuitive and psychic. It s a substantial gift.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Oh, right! I completely forgot about that.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
Okay.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Where are they? Where are they?,fear,0.48,0.648,0.521,0.477,0.66,Chandler
"Okay, um, oh, the zoo commercial.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Hi, hi can I help you?",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"I know, the babies are asleep.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"No, no, the actual cartoon character. Of course the balloon. It's all over the news. Right before he reached",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Alright . I think it's a big mistake but it's your decision.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Y know, if they knew what they were doing they probably didn t give you real names either.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
Really?,,0.614,0.635,0.457,0.469,0.58,Rachel
What is this? Fruit?,,0.489,0.574,0.297,0.56,0.552,Joey
Why don't you play with your roommate?,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Hey! What's she doing back here?,,0.457,0.722,0.6,0.455,0.46,Ross
"Oh, so that s this is gonna work now? You re just gonna order me around all the time?",joy,0.48,0.648,0.521,0.477,0.66,Chandler
It would be nice to have a little guarantee though.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
What?!,,0.614,0.635,0.457,0.469,0.58,Rachel
"Okay Bobby, why don t we just come over here and let them have a little moment.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
What?!,,0.489,0.574,0.297,0.56,0.552,Joey
"Rach come on, what?",sadness,0.489,0.574,0.297,0.56,0.552,Joey
I was doing great with Julie before I found out about you.,anger,0.457,0.722,0.6,0.455,0.46,Ross
"So, you stole my joke, and you stole my money.",anger,0.48,0.648,0.521,0.477,0.66,Chandler
You owe me 20 bucks.,joy,0.354,0.713,0.386,0.511,0.533,Monica
"He can hold a banana, if that's whatcha mean...",sadness,0.457,0.722,0.6,0.455,0.46,Ross
I mean doesn't she have any y'know other stripper moms friends of her own?,anger,0.614,0.635,0.457,0.469,0.58,Rachel
"I know. I know. I know. I know, and if you try to make it more you might wreck it.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"What's ah, what's so funny about that?",sadness,0.457,0.722,0.6,0.455,0.46,Ross
I'm fine.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Hi, uh, nothing. That horrible woman just took my machine.",disgust,0.614,0.635,0.457,0.469,0.58,Rachel
No that s all right. Don t worry about it.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
Ahh! Aren t you dressed yet?,,0.354,0.713,0.386,0.511,0.533,Monica
Are you serious Really?! It s in such good condition.,,0.614,0.635,0.457,0.469,0.58,Rachel
Who is it?,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
They're not even touching the lasagna!,anger,0.375,0.6,0.31,0.356,0.545,Phoebe
"Hmm, noodle soup.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Hey Monica, it's Joey!",joy,0.489,0.574,0.297,0.56,0.552,Joey
"No, Rach, no. I don t, I don t, I don t",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Well you know, we got to talking and uh, he said he needed a place and I had a spare room.",fear,0.48,0.648,0.521,0.477,0.66,Chandler
"Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.",anger,0.457,0.722,0.6,0.455,0.46,Ross
Hey.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Yeah.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"No, hey, well, I-I completely understand. You were, you were stressed.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
What?!,,0.614,0.635,0.457,0.469,0.58,Rachel
You pick one.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"I m sorry, do I know you?",sadness,0.489,0.574,0.297,0.56,0.552,Joey
Great! Well umm,joy,0.457,0.722,0.6,0.455,0.46,Ross
I can t believe we re here.,joy,0.354,0.713,0.386,0.511,0.533,Monica
Okay. Does it have to do with Ross and Rachel?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"I m just saying, this woman, I mean she s fictitious. No?",,0.375,0.6,0.31,0.356,0.545,Phoebe
"Oh, so, forget about the birds, but big red insects suggest fine dining!",anger,0.48,0.648,0.521,0.477,0.66,Chandler
"I know that there's no hole there, I just really liked that picture.",joy,0.354,0.713,0.386,0.511,0.533,Monica
"All right, I definitely taste nutmeg.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"So you uh, want to do something tonight?",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Where's Chandler?,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Whoa-whoa, what is it?",,0.489,0.574,0.297,0.56,0.552,Joey
And Ross.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"You're a lucky man. You know what I miss the most about her? That cute nibbly noise when she eats. Like a happy little squirrel, or a weasel.",joy,0.489,0.574,0.297,0.56,0.552,Joey
Yes.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
What? We could do it!,,0.354,0.713,0.386,0.511,0.533,Monica
"How, how did that happen?",,0.354,0.713,0.386,0.511,0.533,Monica
I won! I won! I finally won!,,0.375,0.6,0.31,0.356,0.545,Phoebe
What are you guys doing together?,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Really?!,,0.354,0.713,0.386,0.511,0.533,Monica
You all know? Does Ross know?,fear,0.614,0.635,0.457,0.469,0.58,Rachel
Hi.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
Okay.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
I never let her eat.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Well, y'know, possibly. You didn't tell him that, though? Right?",fear,0.614,0.635,0.457,0.469,0.58,Rachel
"Yeah, that's kinda what I meant by ""bye!""",anger,0.457,0.722,0.6,0.455,0.46,Ross
"No look, I have, I have lots of clients that make the same noises you do!",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"And it s all because of you, wonderful, amazing you.",joy,0.457,0.722,0.6,0.455,0.46,Ross
Hey!,joy,0.48,0.648,0.521,0.477,0.66,Chandler
"Okay, it's not, it's not.",fear,0.457,0.722,0.6,0.455,0.46,Ross
Maybe?,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"No, so we re protecting her.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"And what s cool is, the character is from Naples, right?",joy,0.489,0.574,0.297,0.56,0.552,Joey
"Sure, I can hang out  til I have to meet ya.  What uh How come you re not going?",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Okay, Rachel, you wanna put the marshmellows in concentric circles.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
No!,anger,0.48,0.648,0.521,0.477,0.66,Chandler
"Oh, yeah, well y'know Chandler printed it up on his computer.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"So you might say, the ring is irreplaceable?",,0.48,0.648,0.521,0.477,0.66,Chandler
"Oh, seriously you want him?",,0.48,0.648,0.521,0.477,0.66,Chandler
"Wendy, we had a deal!  Yeah, you promised! Wendy! Wendy! Wendy!",anger,0.354,0.713,0.386,0.511,0.533,Monica
What?,anger,0.48,0.648,0.521,0.477,0.66,Chandler
"Right. Till I bought a blow dryer, then I was shunned.",anger,0.354,0.713,0.386,0.511,0.533,Monica
"Come on, two on one.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Y'know, last night was embarrassing for you too.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Knock, knock.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Tell us what happened, Brown Bird Ross.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
It's Monica's bed. What?,fear,0.375,0.6,0.31,0.356,0.545,Phoebe
Thanks.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"No! No-no! He is totally incompetent. I called the chef who recommended him to me. He said, ""Ha-ha! Gotcha!""",disgust,0.354,0.713,0.386,0.511,0.533,Monica
He,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Nah... not-not special enough.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Ohh, they re having a",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"Yeah I can!  And don t think I don t, because I do! I mean all the time, you betcha!",joy,0.354,0.713,0.386,0.511,0.533,Monica
"Eh..., I don t, I don t know.",surprise,0.48,0.648,0.521,0.477,0.66,Chandler
"No, I mean, come on, seriously think about it, we get married, we re up at the altar and I m like this.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Hey, Mel Gibson and Clint Eastwood.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Hey, Rach. How was it with your friends?  Okay! How would you like some Tiki Death Punch?",joy,0.354,0.713,0.386,0.511,0.533,Monica
"No! Come on its late, we re not gonna go down to the office.",anger,0.614,0.635,0.457,0.469,0.58,Rachel
"Rachel, what is the deal with you and doctors, anyway? Was, like, your father a doctor?",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Why are we in bed together?,,0.457,0.722,0.6,0.455,0.46,Ross
It couldn t have anything to do with the fact that-that maybe I m a good listener and I uh I put on a,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldn't make any difference, except that I could pick your Father up and say 'Like me! Like me tiny doctor!'",sadness,0.457,0.722,0.6,0.455,0.46,Ross
You're kidding.,joy,0.48,0.648,0.521,0.477,0.66,Chandler
"(Singing, to the tune of",joy,0.489,0.574,0.297,0.56,0.552,Joey
"Well, you re making him a frieze salad with goat cheese and pine nuts, wild nuts, wild rice, roast asparagus, and salmon au croup.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Right. Right. Well ah, y'know we could flip for it.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"All right look, I m changing it to 50 bucks, or your best offer.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Okay, go left. Left! Left!",,0.457,0.722,0.6,0.455,0.46,Ross
And they knew about it?,,0.457,0.722,0.6,0.455,0.46,Ross
"Yes, this, this was pleasant.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Yeah.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Hey-hey! Stanley! Hey-hey! You're leading man is here! Let's get to work.,joy,0.489,0.574,0.297,0.56,0.552,Joey
It isn't?,surprise,0.375,0.6,0.31,0.356,0.545,Phoebe
"Alright, alright, but you better be wearing clothes when I open my eyes.",joy,0.48,0.648,0.521,0.477,0.66,Chandler
What are you guys doing?,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Oh, y'know the same thing happened to me one time.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
You guys got anything to eat? I just went down to Johnos for some chicken and it was closed!,,0.489,0.574,0.297,0.56,0.552,Joey
We are not going to whistle.,anger,0.354,0.713,0.386,0.511,0.533,Monica
"Ohh, good.",joy,0.614,0.635,0.457,0.469,0.58,Rachel
"Come on, it's a hypnosis tape. This woman at work used it for two weeks straight and she hasn't smoked since.",anger,0.614,0.635,0.457,0.469,0.58,Rachel
Yes. Vividly.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
He's open!,joy,0.48,0.648,0.521,0.477,0.66,Chandler
Are you sure?,,0.354,0.713,0.386,0.511,0.533,Monica
What the hell is that?!! What the hell is that? Is that you? Ohhhhhhh!,anger,0.614,0.635,0.457,0.469,0.58,Rachel
Hey.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
No.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Ohhh, nice.",surprise,0.354,0.713,0.386,0.511,0.533,Monica
"All right, that's it, I quit.",anger,0.375,0.6,0.31,0.356,0.545,Phoebe
Hey you guys I'm gonna go out and take a walk.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
What s going on?,,0.48,0.648,0.521,0.477,0.66,Chandler
A two and a five.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Yeah, well it came to about $112, but what the hell, just call it an even 110?",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Well you see in Cups, once you get $700, you have to double it.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Bye, Chandler.",joy,0.614,0.635,0.457,0.469,0.58,Rachel
Hey!!,joy,0.489,0.574,0.297,0.56,0.552,Joey
Yes! I've-I've never seen a roll like this in my life!,joy,0.48,0.648,0.521,0.477,0.66,Chandler
Dad?,sadness,0.457,0.722,0.6,0.455,0.46,Ross
Hi everyone.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Huh? I know, I know. Who am I? David Bowe?",joy,0.457,0.722,0.6,0.455,0.46,Ross
Rachel always cries!,anger,0.354,0.713,0.386,0.511,0.533,Monica
No you didn t.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"It's just you and Rachel, just the two of you? This is a date. You're going on a date.",joy,0.48,0.648,0.521,0.477,0.66,Chandler
"Hey, here she comes.",joy,0.489,0.574,0.297,0.56,0.552,Joey
What?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
You think?,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Because... I'm Monica Geller. It was my credit card you were using.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
What?! Oh my...  Oh my God!! What happened?!,,0.375,0.6,0.31,0.356,0.545,Phoebe
Thank you. Thank you so much!,joy,0.614,0.635,0.457,0.469,0.58,Rachel
"Wow, that's close. When's yours?",fear,0.375,0.6,0.31,0.356,0.545,Phoebe
That is so good! Do it again!,joy,0.457,0.722,0.6,0.455,0.46,Ross
What?,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Monica, Monica, look at this lamp. Is this tacky or what? We have to have this.",joy,0.614,0.635,0.457,0.469,0.58,Rachel
"Yeah, well, lucky for you.",anger,0.48,0.648,0.521,0.477,0.66,Chandler
Yeah?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
You look great too.,joy,0.354,0.713,0.386,0.511,0.533,Monica
Me too.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
She?,,0.48,0.648,0.521,0.477,0.66,Chandler
Huh?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Yeah, I  Well y know I-I mean I missed the-the semi-finals, so I d just be lost.",surprise,0.375,0.6,0.31,0.356,0.545,Phoebe
"Oh, that's fine, no.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Hi, is uh, is Carol here?",sadness,0.457,0.722,0.6,0.455,0.46,Ross
What is it? Hey!,surprise,0.489,0.574,0.297,0.56,0.552,Joey
"Uh-oh, uh-oh, the laundry's done. It's, uh, it's a song. The laundry song that we sing. Uh-oh the laundry's done, uh-oh, uh-oh.",fear,0.457,0.722,0.6,0.455,0.46,Ross
Yeah?,sadness,0.489,0.574,0.297,0.56,0.552,Joey
No.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Yeah! yeah... The hard part is over!,joy,0.48,0.648,0.521,0.477,0.66,Chandler
You completely stole my answer!,anger,0.375,0.6,0.31,0.356,0.545,Phoebe
You still love me.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
I m gonna miss you!,surprise,0.354,0.713,0.386,0.511,0.533,Monica
"Ow, no  woo-hooing,  no  woo-hooing. ",anger,0.48,0.648,0.521,0.477,0.66,Chandler
"Uhh, the ball thing.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Hey Pheebs, what's going on?",sadness,0.457,0.722,0.6,0.455,0.46,Ross
You re kidding right?,,0.48,0.648,0.521,0.477,0.66,Chandler
You had no,anger,0.614,0.635,0.457,0.469,0.58,Rachel
